2025-12-16 20:11:10 - ID User: 2, ID Video: 3, ID Anuncio: 1, Nav: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36, Inicio: 2025-12-16 19:10:52, Fin: 2025-12-16 19:11:10
2025-12-16 20:17:19 - ID User: 2, ID Video: 3, ID Anuncio: 2, Nav: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36, Inicio: 2025-12-16 19:16:53, Fin: 2025-12-16 19:17:19
2025-12-16 20:45:02 - ID User: 2, ID Video: 3, ID Anuncio: 1, Nav: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36, Inicio: 2025-12-16 19:44:26, Fin: 2025-12-16 19:45:02
2025-12-16 20:56:13 - ID User: 2, ID Video: 3, ID Anuncio: 2, Nav: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36, Inicio: 2025-12-16 19:55:51, Fin: 2025-12-16 19:56:13
2025-12-16 20:59:46 - ID User: 2, ID Video: 3, ID Anuncio: 1, Nav: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36, Inicio: 2025-12-16 19:59:25, Fin: 2025-12-16 19:59:46
2025-12-16 21:01:44 - ID User: 2, ID Video: 3, ID Anuncio: 2, Nav: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36, Inicio: 2025-12-16 20:01:24, Fin: 2025-12-16 20:01:44
2025-12-16 21:02:08 - ID User: 2, ID Video: 3, ID Anuncio: 2, Nav: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36, Inicio: 2025-12-16 20:01:47, Fin: 2025-12-16 20:02:08
2025-12-16 21:08:38 - ID User: 2, ID Video: 3, ID Anuncio: 2, Nav: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36, Inicio: 2025-12-16 20:08:28, Fin: 2025-12-16 20:08:38
2025-12-16 21:09:25 - ID User: 2, ID Video: 3, ID Anuncio: 2, Nav: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36, Inicio: 2025-12-16 20:09:15, Fin: 2025-12-16 20:09:25
2025-12-16 21:12:50 - ID User: 2, ID Video: 3, ID Anuncio: 1, Nav: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36, Inicio: 2025-12-16 20:12:29, Fin: 2025-12-16 20:12:50
2025-12-16 21:13:18 - ID User: 2, ID Video: 3, ID Anuncio: 1, Nav: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36, Inicio: 2025-12-16 20:12:56, Fin: 2025-12-16 20:13:18
